PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2018,,,,,,8.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2019,,,,,,8.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2020,,,,,,8.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2021,,,,,,11.6
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2022,,,,,,15.2
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2023,,,,,,18.8
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2024,,,,,,22.4
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2025,,,,,,26.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2026,,,,,,34.2
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2027,,,,,,42.4
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2028,,,,,,50.6
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2029,,,,,,58.8
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2030,,,,,,67.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2031,,,,,,74.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2032,,,,,,81.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2033,,,,,,88.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2034,,,,,,95.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2035,,,,,,103.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2036,,,,,,108.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2037,,,,,,113.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2038,,,,,,118.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2039,,,,,,123.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2040,,,,,,128.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2041,,,,,,133.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2042,,,,,,136.4
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2043,,,,,,139.8
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2044,,,,,,143.2
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2045,,,,,,146.6
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2046,,,,,,150.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2047,,,,,,153.2
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2048,,,,,,156.4
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2049,,,,,,159.6
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2050,,,,,,162.8
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2051,,,,,,166.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2052,,,,,,169.2
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2053,,,,,,172.4
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2054,,,,,,175.6
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2055,,,,,,178.8
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2056,,,,,,182.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2057,,,,,,185.2
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2058,,,,,,188.4
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2059,,,,,,191.6
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2060,,,,,,194.8
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2061,,,,,,198.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2062,,,,,,201.2
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2063,,,,,,204.4
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2064,,,,,,207.6
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2065,,,,,,210.8
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2066,,,,,,214.0
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2067,,,,,,217.2
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2068,,,,,,220.4
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2069,,,,,,223.6
TotalAnnualMaxCapacity,DDP,ECU,FSTCHRGER,,,,2070,,,,,,226.8
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2018,,,,,,0.3786
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2019,,,,,,0.3786
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2020,,,,,,0.3786
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2021,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2022,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2023,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2024,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2025,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2026,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2027,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2028,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2029,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2030,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2031,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2032,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2033,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2034,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2035,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2036,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2037,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2038,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2039,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2040,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2041,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2042,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2043,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2044,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2045,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2046,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2047,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2048,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2049,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2050,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2051,,,,,,0.4323
TotalAnnualMaxCapacity,DDP,ECU,PPICRUPETICE,,,,2052,,,,,,0.4323
