PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,DDP,,,,,,2018,All,,,,,1
YearSplit,DDP,,,,,,2019,All,,,,,1
YearSplit,DDP,,,,,,2020,All,,,,,1
YearSplit,DDP,,,,,,2021,All,,,,,1
YearSplit,DDP,,,,,,2022,All,,,,,1
YearSplit,DDP,,,,,,2023,All,,,,,1
YearSplit,DDP,,,,,,2024,All,,,,,1
YearSplit,DDP,,,,,,2025,All,,,,,1
YearSplit,DDP,,,,,,2026,All,,,,,1
YearSplit,DDP,,,,,,2027,All,,,,,1
YearSplit,DDP,,,,,,2028,All,,,,,1
YearSplit,DDP,,,,,,2029,All,,,,,1
YearSplit,DDP,,,,,,2030,All,,,,,1
YearSplit,DDP,,,,,,2031,All,,,,,1
YearSplit,DDP,,,,,,2032,All,,,,,1
YearSplit,DDP,,,,,,2033,All,,,,,1
YearSplit,DDP,,,,,,2034,All,,,,,1
YearSplit,DDP,,,,,,2035,All,,,,,1
YearSplit,DDP,,,,,,2036,All,,,,,1
YearSplit,DDP,,,,,,2037,All,,,,,1
YearSplit,DDP,,,,,,2038,All,,,,,1
YearSplit,DDP,,,,,,2039,All,,,,,1
YearSplit,DDP,,,,,,2040,All,,,,,1
YearSplit,DDP,,,,,,2041,All,,,,,1
YearSplit,DDP,,,,,,2042,All,,,,,1
YearSplit,DDP,,,,,,2043,All,,,,,1
YearSplit,DDP,,,,,,2044,All,,,,,1
YearSplit,DDP,,,,,,2045,All,,,,,1
YearSplit,DDP,,,,,,2046,All,,,,,1
YearSplit,DDP,,,,,,2047,All,,,,,1
YearSplit,DDP,,,,,,2048,All,,,,,1
YearSplit,DDP,,,,,,2049,All,,,,,1
YearSplit,DDP,,,,,,2050,All,,,,,1
YearSplit,DDP,,,,,,2051,All,,,,,1
YearSplit,DDP,,,,,,2052,All,,,,,1
YearSplit,DDP,,,,,,2053,All,,,,,1
YearSplit,DDP,,,,,,2054,All,,,,,1
YearSplit,DDP,,,,,,2055,All,,,,,1
YearSplit,DDP,,,,,,2056,All,,,,,1
YearSplit,DDP,,,,,,2057,All,,,,,1
YearSplit,DDP,,,,,,2058,All,,,,,1
YearSplit,DDP,,,,,,2059,All,,,,,1
YearSplit,DDP,,,,,,2060,All,,,,,1
YearSplit,DDP,,,,,,2061,All,,,,,1
YearSplit,DDP,,,,,,2062,All,,,,,1
YearSplit,DDP,,,,,,2063,All,,,,,1
YearSplit,DDP,,,,,,2064,All,,,,,1
YearSplit,DDP,,,,,,2065,All,,,,,1
YearSplit,DDP,,,,,,2066,All,,,,,1
YearSplit,DDP,,,,,,2067,All,,,,,1
YearSplit,DDP,,,,,,2068,All,,,,,1
YearSplit,DDP,,,,,,2069,All,,,,,1
YearSplit,DDP,,,,,,2070,All,,,,,1
