PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,BAU,ECU,,,Health,,2018,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2019,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2020,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2021,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2022,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2023,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2024,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2025,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2026,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2027,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2028,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2029,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2030,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2031,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2032,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2033,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2034,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2035,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2036,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2037,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2038,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2039,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2040,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2041,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2042,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2043,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2044,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2045,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2046,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2047,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2048,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2049,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2050,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2051,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2052,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2053,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2054,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2055,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2056,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2057,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2058,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2059,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2060,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2061,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2062,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2063,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2064,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2065,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2066,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2067,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2068,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2069,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Health,,2070,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2018,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2019,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2020,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2021,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2022,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2023,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2024,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2025,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2026,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2027,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2028,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2029,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2030,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2031,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2032,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2033,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2034,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2035,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2036,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2037,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2038,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2039,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2040,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2041,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2042,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2043,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2044,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2045,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2046,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2047,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2048,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2049,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2050,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2051,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2052,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2053,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2054,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2055,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2056,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2057,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2058,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2059,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2060,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2061,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2062,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2063,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2064,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2065,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2066,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2067,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2068,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2069,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Accidents,,2070,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2018,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2019,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2020,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2021,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2022,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2023,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2024,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2025,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2026,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2027,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2028,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2029,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2030,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2031,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2032,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2033,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2034,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2035,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2036,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2037,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2038,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2039,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2040,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2041,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2042,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2043,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2044,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2045,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2046,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2047,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2048,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2049,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2050,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2051,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2052,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2053,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2054,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2055,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2056,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2057,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2058,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2059,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2060,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2061,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2062,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2063,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2064,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2065,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2066,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2067,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2068,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2069,,,,,,1000
EmissionsPenalty,BAU,ECU,,,Congestion,,2070,,,,,,1000
